hh1,hh2,willingness_link1,willingness_link2,asymmetric_bilateral1,asymmetric_bilateral2,asymmetric_unilateral1,asymmetric_unilateral2,kinship1,kinship2,excess_wealth1,excess_wealth2,same_edu1,same_edu2,members1,members2,o_members1,o_members2,neighbors1,neighbors2,popularity1,popularity2,const1,const2
81,28,0,0,0,0,1,1,0,0,1.03008985519409,-1.03008985519409,0,0,3,2,2,3,0,0,.800000011920929,.400000005960464,1,2
90,28,0,0,0,0,1,1,0,0,-.219763040542603,.219763040542603,1,1,2,2,2,2,0,0,.800000011920929,.400000005960464,1,2
37,28,0,0,0,0,1,1,0,0,2.1264431476593,-2.1264431476593,0,0,1,2,2,1,0,0,.800000011920929,.600000023841858,1,2
1,28,0,0,0,0,1,1,0,0,-14.8377084732056,14.8377084732056,0,0,3,2,2,3,1,1,.800000011920929,.899999976158142,1,2
17,28,0,0,0,0,1,1,0,0,-24.829288482666,24.829288482666,1,1,9,2,2,9,1,1,.800000011920929,2.29999995231628,1,2
118,28,0,0,0,0,1,1,0,0,2.81967830657959,-2.81967830657959,0,0,1,2,2,1,1,1,.800000011920929,0,1,2
57,28,1,0,1,1,0,0,1,1,-1.13068866729736,1.13068866729736,1,1,2,2,2,2,1,1,.699999988079071,1,1,2
89,28,0,0,0,0,1,1,0,0,-7.52841091156006,7.52841091156006,1,1,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
80,28,0,0,0,0,1,1,0,0,2.41603136062622,-2.41603136062622,0,0,2,2,2,2,0,0,.800000011920929,.100000001490116,1,2
62,28,0,0,0,0,1,1,0,0,-11.7991466522217,11.7991466522217,1,1,5,2,2,5,1,1,.800000011920929,.200000002980232,1,2
88,28,0,0,0,0,1,1,0,0,.322913646697998,-.322913646697998,1,1,2,2,2,2,0,0,.800000011920929,.400000005960464,1,2
4,28,0,0,0,0,1,1,0,0,.0766196250915527,-.0766196250915527,1,1,5,2,2,5,0,0,.800000011920929,.300000011920929,1,2
59,28,0,0,0,0,1,1,0,0,-1.30579280853271,1.30579280853271,1,1,4,2,2,4,1,1,.800000011920929,.400000005960464,1,2
105,28,0,0,0,0,1,1,0,0,-8.10655498504639,8.10655498504639,1,1,2,2,2,2,0,0,.800000011920929,.699999988079071,1,2
16,28,0,0,0,0,1,1,0,0,1.93203139305115,-1.93203139305115,0,0,1,2,2,1,1,1,.800000011920929,.200000002980232,1,2
52,28,0,0,0,0,1,1,0,0,2.5901665687561,-2.5901665687561,0,0,2,2,2,2,0,0,.800000011920929,.300000011920929,1,2
2,28,0,0,0,0,1,1,0,0,-3.81991052627563,3.81991052627563,1,1,2,2,2,2,1,1,.800000011920929,.300000011920929,1,2
20,28,0,0,0,0,1,1,0,0,-2.34394550323486,2.34394550323486,1,1,2,2,2,2,1,1,.800000011920929,1,1,2
